cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
115,2282.985,2298.2906,20,15.3056000000001,0,20,0,PI,none yet,30,21.5064372865898,8.49356271341018,1,0,30,39,-4.69439999999986
116,2300.5261,2312.0735,20,11.5473999999999,0,20,0,PI,none yet,30,21.5179179747301,8.48208202526995,1,0,30,39,-8.45260000000007
117,2314.0836,2342.3342,20,28.2505999999998,0,20,1,PI,none yet,30,21.5293642208059,8.47063577919414,1,0,30,39,8.25059999999985
118,2344.1397,2358.9172,20,14.7775000000001,0,20,0,PI,none yet,30,21.5407761281434,8.45922387185655,1,0,30,39,-5.22249999999985
119,2360.493,2374.2695,20,13.7764999999999,0,20,0,PI,none yet,30,21.552153799759,8.44784620024098,1,0,30,39,-6.22350000000006
120,2375.8168,2390.0176,20,14.2008000000001,0,20,0,PI,none yet,30,21.5634973383597,8.43650266164026,1,0,30,39,-5.79919999999993
121,2391.7177,2406.1981,20,14.4803999999999,0,20,0,PI,none yet,30,21.5748068463447,8.42519315365534,1,0,30,39,-5.51960000000008
122,2407.9622,2421.3636,20,13.4013999999997,0,20,0,PI,none yet,30,21.5860824258056,8.41391757419437,1,0,30,39,-6.59860000000026
123,2423.1841,2437.1299,20,13.9458,0,20,0,PI,none yet,30,21.5973241785282,8.40267582147179,1,0,30,39,-6.05420000000004
124,2450.983,2468.7293,20,17.7463000000002,0,20,0,PI,none yet,30,21.6085322059926,8.39146779400737,1,0,30,39,-2.25369999999975
125,2470.6819,2498.7208,20,28.0389,0,20,1,PI,none yet,30,21.6197066093746,8.38029339062535,1,0,30,39,8.03890000000001
126,2500.6123,2515.4103,20,14.7980000000002,0,20,0,PI,none yet,30,21.6308474895465,8.36915251045347,1,0,30,39,-5.20199999999977
127,2517.0704,2530.1794,20,13.1089999999999,0,20,0,PI,none yet,30,21.6419549470779,8.35804505292212,1,0,30,39,-6.89100000000008
128,2532.0834,2545.4704,20,13.3870000000002,0,20,0,PI,none yet,30,21.6530290822366,8.34697091776335,1,0,30,39,-6.61299999999983
129,2547.2108,2576.0912,20,28.8803999999996,0,20,1,PI,none yet,30,21.6640699949899,8.33593000501006,1,0,30,39,8.88039999999955
130,2577.8201,2592.0762,20,14.2561000000001,0,20,0,PI,none yet,30,21.675077785005,8.32492221499503,1,0,30,39,-5.74389999999994
131,2593.8381,2607.4028,20,13.5646999999999,0,20,0,PI,none yet,30,21.68605255165,8.31394744835005,1,0,30,39,-6.4353000000001
132,2609.1285,2623.3329,20,14.2043999999996,0,20,0,PI,none yet,30,21.696994393995,8.30300560600499,1,0,30,39,-5.79560000000038
133,2625.0921,2639.133,20,14.0409000000004,0,20,0,PI,none yet,30,21.707903410813,8.29209658918698,1,0,30,39,-5.95909999999958
134,2640.8522,2654.6605,20,13.8083000000001,0,20,0,PI,none yet,30,21.7187797005806,8.28122029941942,1,0,30,39,-6.19169999999986
135,2668.8457,2686.1013,20,17.2556,0,20,0,PI,none yet,30,21.7296233614788,8.27037663852116,1,0,30,39,-2.74440000000004
136,2687.9637,2715.4601,20,27.4964,0,20,1,PI,none yet,30,21.7404344913944,8.2595655086056,1,0,30,39,7.49639999999999
137,2717.1768,2731.7523,20,14.5755000000004,0,20,0,PI,none yet,30,21.7512131879202,8.24878681207978,1,0,30,39,-5.42449999999963
138,2733.3781,2747.0371,20,13.6590000000001,0,20,0,PI,none yet,30,21.7619595483565,8.23804045164354,1,0,30,39,-6.34099999999989
139,2749.0266,2762.127,20,13.1003999999998,0,20,0,PI,none yet,30,21.7726736697114,8.22732633028861,1,0,30,39,-6.89960000000019
